Rk,X_Season,X_Lg,X_Age,X_Ht,X_Wt,X_G,X_MP,X_FG,X_FGA,X_3P,X_3PA,X_FT,X_FTA,X_ORB,X_DRB,X_TRB,X_AST,X_STL,X_BLK,X_TOV,X_PF,X_PTS,X_FG%,X_3P%,X_FT%,X_Pace,X_eFG%,X_TOV%,X_ORB%,X_FT/FGA,X_ORtg
48,1975-76,NBA,26.5,6-6,204,738,356340,62069,135379,,,29875,39763,21191,48769,69960,33949,13171,6548,29185,36656,154013,.458,,.751,105.5,.458,16.0,30.3,.221,98.3
49,1974-75,NBA,26.7,6-6,203,738,356340,61528,134514,,,28429,37164,20946,48522,69468,35158,13002,6286,29292,35908,151485,.457,,.765,104.5,.457,16.3,30.2,.211,97.7
50,1973-74,NBA,26.9,6-6,205,697,335910,60054,130850,,,27294,35392,20532,46698,67230,34336,12128,6556,28998,33195,147402,.459,,.771,107.8,.459,16.5,30.5,.209,97.7
51,1972-73,NBA,26.7,6-6,205,697,335860,61632,135052,,,26719,35239,,,70555,35123,,,,31774,149983,.456,,.758,,.456,,,.198,
52,1971-72,NBA,26.6,6-6,206,697,336160,60543,133152,,,32518,43446,,,71299,33526,,,,32967,153604,.455,,.748,,.455,,,.244,
53,1970-71,NBA,26.6,6-6,205,697,336010,61399,136642,,,33904,45526,,,74059,33843,,,,33974,156702,.449,,.745,,.449,,,.248,
54,1969-70,NBA,26.8,6-6,205,574,277370,52441,114059,,,29085,38708,,,60697,28379,,,,28823,133967,.460,,.751,,.460,,,.255,
55,1968-69,NBA,26.9,6-6,207,574,277070,50129,113692,,,28680,40189,,,65324,26568,,,,29237,128938,.441,,.714,,.441,,,.252,
56,1967-68,NBA,26.8,6-6,206,492,237560,44247,99194,,,26247,36474,,,65166,22478,,,,25898,114741,.446,,.720,,.446,,,.265,
57,1966-67,NBA,26.6,6-6,206,405,195450,36826,83503,,,21481,29357,,,54536,18174,,,,21244,95133,.441,,.732,,.441,,,.257,
58,1965-66,NBA,26.6,6-6,207,360,173150,31914,73758,,,19337,26609,,,49118,16463,,,,18864,83165,.433,,.727,,.433,,,.262,
59,1964-65,NBA,26.4,6-6,208,360,174000,30595,71882,,,18451,25604,,,48433,15087,,,,18682,79641,.426,,.721,,.426,,,.257,
60,1963-64,NBA,26.4,6-6,207,360,,30863,71333,,,18195,25189,,,47423,15414,,,,19286,79921,.433,,.722,,.433,,,.255,
61,1962-63,NBA,26.3,6-6,205,360,,32112,72887,,,18769,25827,,,48044,16342,,,,18694,82993,.441,,.727,,.441,,,.258,
62,1961-62,NBA,26.4,6-5,205,360,,33048,77570,,,19414,26686,,,51415,17231,,,,18620,85510,.426,,.727,,.426,,,.250,
63,1960-61,NBA,26.4,6-5,205,316,,28669,69134,,,17316,23619,,,46314,15276,,,,16965,74654,.415,,.733,,.415,,,.250,
64,1959-60,NBA,26.5,6-5,204,300,,26703,65204,,,15794,21501,,,44104,13532,,,,15338,69200,.410,,.735,,.410,,,.242,
65,1958-59,NBA,26.4,6-5,202,288,,23270,58943,,,15808,20909,,,40343,11292,,,,14952,62348,.395,,.756,,.395,,,.268,
66,1957-58,NBA,26.8,6-5,202,288,,22480,58666,,,16463,22054,,,41279,11311,,,,14670,61423,.383,,.746,,.383,,,.281,
67,1956-57,NBA,26.2,6-5,201,288,,20699,54472,,,15981,21280,,,35948,10870,,,,14460,57379,.380,,.751,,.380,,,.293,
68,1955-56,NBA,26.3,6-5,200,288,,20354,52641,,,16331,21914,,,34616,13976,,,,15180,57039,.387,,.745,,.387,,,.310,
69,1954-55,NBA,26.7,6-5,197,288,,19173,49765,,,15262,20691,,,32292,13615,,,,14277,53608,.385,,.738,,.385,,,.307,
70,1953-54,NBA,26.4,6-4,197,324,,18182,48834,,,15175,21411,,,32987,13185,,,,16433,51539,.372,,.709,,.372,,,.311,
71,1952-53,NBA,26.4,6-4,196,351,,20011,54129,,,18038,25195,,,36168,14744,,,,20228,58060,.370,,.716,,.370,,,.333,
72,1951-52,NBA,26.3,6-4,195,330,,19559,53347,,,16124,21941,,,35977,14457,,,,17751,55242,.367,,.735,,.367,,,.302,
73,1950-51,NBA,,,,354,,21093,59166,,,17328,23626,,,35019,14833,,,,19139,59514,.357,,.733,,.357,,,.293,
74,1949-50,NBA,,,,561,,31671,93221,,,26464,37045,,,,22005,,,,30264,89806,.340,,.714,,.340,,,.284,
75,1948-49,BAA,,,,360,,20879,63836,,,15851,22562,,,,13382,,,,18440,57609,.327,,.703,,.327,,,.248,
76,1947-48,BAA,,,,192,,10454,36854,,,6991,10356,,,,2697,,,,8532,27899,.284,,.675,,.284,,,.190,
77,1946-47,BAA,,,,331,,17175,61509,,,10511,16397,,,,4568,,,,13796,44861,.279,,.641,,.279,,,.171,
